"ID";"ISIL";"VZ_Sigel";"VZ_Code";"Institution";"Institution_DE";"Institution_FR";"Institution_IT";"Institution_RM";"Institution_EN";"Strasse";"PLZ";"Ort";"Kanton";"Land";"Telefon_Nr";"Fax_Nr";"E_Mail";"WWW";"Startdatum";"Enddatum";"Aufgegangen_in";"Verwaltungsgeschichte";"Bestandsbeschreibung";"Bibliotheksbestaende";"Andere_Bestaende";"URL_Findmittel";"Zugang";"Fernleihe_Tel";"Fernleihe_Fax";"Fernleihe_Mail";"Mitgliedschaft";"Dewey";"Status";"Zugangsbedingungen";"LastEditedOn"
"https://www.helveticarchives.ch/detail.aspx?ID=685034";"CH-001800-6";"";"";"Gemeindearchiv Bözberg";"Gemeindearchiv Bözberg";"";"";"";"";"Chapf 9";"5225";"Bözberg";"AG";"CH";"+41 56 460 24 60";"+41 56 460 24 61";"verwaltung@boezberg.ch";"http://www.boezberg.ch/";"";"";"";"Die für eine Gemeinde typisch anfallenden Verwaltungsakten";"";"";"";"";"";"";"";"";"";"";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=1390849";"CH-002051-6";"";"";"Gemeindearchiv Remetschwil";"";"";"";"";"";"Dorfstrasse 4";"5453";"Remetschwil";"AG";"CH";"+41 56 485 84 00";"";"gemeindekanzlei@remetschwil.ch";"http://www.remetschwil.ch/";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-06-18"
"https://www.helveticarchives.ch/detail.aspx?ID=919617";"CH-001858-6";"";"";"Gemeindebibliothek Spreitenbach";"";"";"";"";"";"Langäckerstrasse 11";"8957";"Spreitenbach";"AG";"CH";"+41 56 418 86 80";"";"bibliothek@spreitenbach.ch";"http://www.bibliothek-spreitenbach.ch/";"1977";"";"";"1977 wurde die Gemeindebibliothek Spreitenbach eröffnet.";"Für Erwachsene, Jugendliche und Kinder stehen zur Ausleihe bereit: Belletristik, Sachbücher, Comics, Zeitschriften, Hörbücher, DVDs, Konsolenspiele, CDs, ebooks";"15000 Medien";"";"";"Während der Öffnungszeiten: ohne Voranmeldung zugänglich";"";"";"";"BIS, SAB";"";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=228971";"CH-001574-3";"";"";"Gemeindebibliothek Violahof";"";"";"";"";"";"Giebenacherstrasse 54";"4303";"Kaiseraugst";"AG";"CH";"+41 61 811 56 37";"";"bibliothek@kaiseraugst.ch";"";"1978";"";"";"";"Belletristik";"3'061 Belletristik, 743 Sachliteratur, 40 comics, 178 Hörbücher, 528 Zeitschriften, 902 CDs, 547 DVD, 818 Tonkassetten, 199 Spiele";"";"";"Öffentlich, ohne Voranmeldung";"";"";"";"";"808.8 [Belletristik]";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=167127";"CH-001210-X";"";"";"Historische Sammlung Museum Aargau Bibliothek";"";"";"";"";"";"Schloss Lenzburg";"5600";"Lenzburg";"AG";"CH";"+41 62 888 48 40";"";"verena.gobeli@ag.ch";"http://www.museumaargau.ch/";"1958";"";"";"";"Kulturgeschichte: Kulturgeschichte";"10'000 Bände, 15 Zeitschriften";"";"http://aargauer.aquabrowser.com/";"";"";"";"";"VMS/AMS";"306 [Kulturgeschichte]";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=167146";"CH-001093-1";"";"";"Höhere Technische Lehranstalt / Ingenieurschule / Bibliothek";"";"";"";"";"";"";"";"Windisch";"AG";"CH";"";"";"";"";"1965";"2013";"CH-001221-3";"Die Bibliothek existiert nicht mehr. Der Bestand wurde in eine andere Bibliothek (CH-001221-3) integriert.";"";"";"";"";"";"";"";"";"";"";"inaktiv";"";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=167134";"CH-000705-2";"Ho 1";"HO001";"Holderbank Management & Beratung AG / Bibliothek";"";"";"";"";"";"";"5113";"Holderbank AG";"AG";"CH";"";"";"";"";"1952";"";"";"";"Zementindustrie,Verfahrenstechnik,Geologie,Bindemittelchemie,Bindemitteltechnologie,Beton,Mörtel,Kunststeine,Glas,feuerfeste Steine,Petrographie,Lagerstätten,Bautechnik,Bauindustrie: Zement,Bauingenieurwesen,Bauwesen";"5'000 Bände, 150 Zeitschriften";"";"";"";"+41 62 887 64 38";"+41 62 887 62 39";"";"BIS";"620.1 [Zementindustrie]
338.4 [Verfahrenstechnik]
551 [Geologie]
668.3 [Bindemittelchemie]
668.3 [Bindemitteltechnologie]
666.8 [Beton]
666.8 [Kunststeine]
666.9 [Mörtel]
666.9 [Zement und Beton (Betonzusätze)]
666.1 [Glas]
553.6 [Feuerfeste Steine]
552 [Petrographie]
553.1 [Lagerstätten]
624 [Bautechnik]
624 [Bauingenieurwesen]
338.4 [Bauindustrie]
338.4 [Bauwesen]";"aktiv";"Lieferung der Dokumente nur, wenn nicht in einer A- oder B-Bibliothek lokalisierbar ( Spezialbibliotheken, Privatindustrie)";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=280604";"CH-001644-X";"";"";"Info-Zentrum Aarau / ask! - Beratungsdienste für Ausbildung und Beruf";"";"";"";"";"";"Herzogstrasse 1";"5000";"Aarau";"AG";"CH";"+41 62 832 64 20";"";"info@bdag.ch";"http://www.bdag.ch/";"2008";"";"";"Entstanden in der jetzigen Form 2008 durch die Neuorganisation der bisher 12 dezentral geführten Berufsinformationszentren BIZ zu 6 zentral geführten und bewirtschafteten Kompetenzzentren (Aarau, Baden, Rheinfelden, Wohlen, Zofingen, Zurzach).";"Berufs- und Studienwahl, Berufseinstieg, Arbeitsleben, Laufbahn, rechtliche Fragen zu Beruf und Arbeit, Erwerbsloigkeit, Grund- und Weiterbildungsberufe, Studienrichtungen, Ratgeber";"Ca. 30'000 Exemplare (alle info-Zentren), 15 Zeitschriften";"";"";"Hauptbibliothek (Info-Zentrum) : Öffentliche Bibliothek. Kostenpflichtig sind nur direkte Verbrauchskosten. Ausleihkonditionen gemäss internen Regelungen. Fachschaftsbibliotheken : Nurr interne Benützung (für Berufs-, Studien- und Laufbahnberatung, Beratung für Berufe Gesundheit und Soziales, Lehrpersonenberatung, Jugendpsychologischer Dienst)";"";"";"";"";"";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=280640";"CH-001646-4";"";"";"Info-Zentrum Bad Zurzach / Beratungsdienste für Ausbildung und Beruf Aargau";"";"";"";"";"";"";"";"Bad Zurzach";"AG";"CH";"";"";"";"";"2008";"";"";"Das Info-Zentrum existiert nicht mehr.";"";"";"";"";"";"";"";"";"";"";"inaktiv";"";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=280639";"CH-001645-7";"";"";"Info-Zentrum Baden / ask! - Beratungsdienste für Ausbildung und Beruf";"";"";"";"";"";"Schmiedestrasse 13 / Gebäude 1485";"5400";"Baden";"AG";"CH";"+41 62 832 65 20";"";"info@bdag.ch";"http://www.bdag.ch/";"2008";"";"";"Enstanden in der jetzigen Form 2008 durch die Neuorganisation der bisher 12 dezentral geführten Berufsinformationszentren BIZ zu 6 zentral geführten und bewirtschafteten Kompetenzzentren (Aarau, Baden, Rheinfelden, Wohlen, Zofingen, Zurzach).";"Berufs- und Studienwahl, Berufseinstieg, Arbeitsleben, Laufbahn, rechtliche Fragen zu Beruf und Arbeit, Erwerbslosigkeit, Grund- und Weiterbildungsberufe, Studienrichtungen, Ratgeber";"ca. 30'000 Exemplare (alle Info-Zentren), 15 Zeitschriften";"";"";"Hauptbibliothek (Info-Zentrum) : Öffentliche Bibliothek. Kostenpflichtig sind nur direkte Verbrauchskosten. Ausleihkonditionen gemäss internen Regelungen. Fachschaftsbibliotheken : Nur interne Benützung (für Berufs-, Studien- und Laufbahnberatung, Beratung für Berufe Gesundheit und Soziales, Lehrpersonenberatung, Jugendpsychologischer Dienst)";"";"";"";"";"";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=280641";"CH-001647-1";"";"";"Info-Zentrum Rheinfelden / ask! - Beratungsdienste für Ausbildung und Beruf";"";"";"";"";"";"Kaiserstrasse 8";"4310";"Rheinfelden";"AG";"CH";"+41 62 832 65 50";"";"info@bdag.ch";"http://www.bdag.ch/";"2008";"";"";"Entstanden in der jetzigen Form 2008 durch die Neuorganisation der bisher 12 dezentral geführten Berufsinformationszentren BIZ zu 6 zentral geführten und bewirtschafteten Kompetenzzentren (Aarau, Baden, Rheinfelden, Wohlen, Zofingen, Zurzach)";"Berufs- und Studienwahl, Berufseinstieg, Arbeitsleben, Laufbahn, rechtliche Fragen zu Beruf und Arbeit, Erwerbslosigkeit, Grund- und Weiterbildungsberufe, Studienrichtungen, Ratgeber";"ca. 30'000 Exemplare (alle Info-Zentren), 10 Zeitschriften";"";"";"Hauptbibliothek (Info-Zentrum) : Öffentliche Bibliothek. Kostenpflichtig sind nur direkte Verbrauchskosten. Ausleihkonditionen gemäss internen Regelungen. Fachschaftsbibliotheken : Nur interne Benützung (für Berufs-, Studien- und Laufbahnberatung, Beratung für Berufe Gesundheit und Soziales, Lehrpersonenberatung, Jugendpsychologischer Dienst)";"";"";"";"";"";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=280642";"CH-001648-9";"";"";"Info-Zentrum Wohlen / ask! - Beratungsdienste für Ausbildung und Beruf";"";"";"";"";"";"Zentralstrasse 17";"5610";"Wohlen";"AG";"CH";"+41 62 832 65 70";"";"info@bdag.ch";"http://www.bdag.ch/";"2008";"";"";"Entstanden in der jetzigen Form 2008 durch die Neuorganisation der bisher 12 dezentral geführten Berufsinformationszentren BIZ zu 6 zentral geführten und bewirtschafteten Kompetenzzentren (Aarau, Baden, Rheinfelden, Wohlen, Zofingen, Zurzach)";"Berufs- und Studienwahl, Berufseinstieg, Arbeitsleben, rechtliche Fragen zu Beruf und Arbeit, Erwerbslosigkeit, Grund- und Weiterbildungsberufe, Studienrichtungen, Ratgeber";"ca. 30'000 Exemplare (alle Info-Zentren), 5 Zeitschriften";"";"";"Hauptbibliothek (Info-Zentrum) : Öffentliche Bibliothek. Kostenpflichtig sind nur direkte Verbrauchskosten. Ausleihkonditionen gemäss internen Regelungen. Fachschaftsbibliotheken : Nur interne Benützung (für Berufs-, Studien- und Laufbahnberatung, Beratung für Berufe Gesundheit und Soziales, Lehrpersonenberatung, Jugendpsychologischer Dienst)";"";"";"";"";"";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=280650";"CH-001649-6";"";"";"Info-Zentrum Zofingen / Beratungsdiesnte für Ausbildung und Beruf Aargau";"";"";"";"";"";"";"";"Zofingen";"AG";"CH";"";"";"";"";"2008";"";"";"Das Info-Zentrum existiert nicht mehr.";"";"";"";"";"";"";"";"";"";"";"inaktiv";"";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=167129";"CH-001089-9";"";"";"Institut für interdisziplinäre Erforschung der Wassernutzung (IEW) / Dokumentation und Archiv";"";"";"";"";"";"Hauptstrasse 124";"4814";"Bottenwil";"AG";"CH";"+41 62 721 37 43";"+41 62 721 37 43";"";"";"1975";"";"";"";"Wasser (Herkunft, Qualität, Aufbereitung, Benutzung): Wasser";"600 Bände, 3 Zeitschriften";"1'000 Exponate zu Korrosionsatlas";"";"Öffentlich zugänglich";"";"";"";"";"551.4 [Wasser (Herkunft)]";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=176440";"CH-001484-4";"";"";"Internationales Baum-Archiv / Verena Eggmann und Bernd Steiner";"";"";"";"";"";"c/o Naturama Aargau, Feerstrasse 17";"5000";"Aarau";"AG";"CH";"+41 62 832 72 85";"";"info@naturama.ch";"";"1975";"2014";"";"Das Internationale Baum-Archiv wurde 1975 durch die renommierte Zürcher Berufsfotografin Verena Eggmann Steiner (1946-1997) begründet und sie begann mit der fotografischen Aufnahme historischer Bäume der Schweiz. Seit 1989 trägt deren Sammlung den Namen Internationales Baum-Archiv (IBA). Das Dokumentationsmaterial und Sammlungsgut fand 1995 in der Villa Rosenberg in Winterthur einen neuen Standort. Verena Eggmann Steiner verstarb kurz nach dem Einzug in das neue Haus. In der Folge übernahm ihr Mann, Bernd Steiner, das Projekt und baute die Villa Rosenberg sukzessive zum Museum um, das 1995 eröffnet wurde. 1999 wurde das IBA eine Stiftung, die unter der Aufsicht der Eidgenössischen Stiftungsaufsicht stand. Die Stiftung widmete sich der systematischen fotografischen Dokumentation und Erforschung der Kulturgeschichte von Baum und Wald. Ende September 2007 musste das Museum geschlossen werden. Das Material wurde integral am privaten Wohnsitz von Bernd Steiner in Berg am Irchel ZH eingelagert. Per 31.12.2014 wurde die Stiftung Internationales Baum-Archiv aufgelöst. Der Stiftungsbesitz wurde per 01.01.2015 an die Stiftung Naturama Aargau überführt. Das IBA ist die weltweit umfangreichste systematische Sammlung zur Kulturgeschichte von Baum und Wald. Es zeigt und beschreibt die kulturelle Rolle von Baum und Wald von den alten Kulturen bis zur Gegenwart.";"Akten des Museums und der Stiftung. Bibliothek und Buchpublikationen. Fotografie betreffend Bäume und Wälder an 2000 Standorten in 18 Ländern. Dazu Objekte und Reproduktionen antiker, historischer und zeitgenössischer Gegenstände wie Kultstatuen, Zeremonialgeräte, Figuren, Gefässe, Bronzen, Plastiken und Kunstgewerbearbeiten. Modelle Weltenbaum- und Mistelkult. Sammlung beschnitzter Nüsse, Kerne und Samen aus der Zeit von 1750-2000. Zeichnungen (Mappenwerke) und Kinderzeichnungen.";"50 Einheiten";"ca. 40-50'000 Dias und Negative verschiedener Formate. Dieses Archiv ist als Handkartei und für eine Auswahl der Dias und Negative in digitalisierte Form vorhanden.";"";"auf Voranmeldung von mindestens 2 Wochen";"";"";"";"";"355.0 [Kriegstechnik]
303.3 [Machtsymbolik]
582.1 [Baum- und Waldzeugnisse]
200.7 [Religionsgeschichte]
305.8 [Ethnologie]
320.0 [Politik]
390 [Bräuche, Etikette, Folklore]";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=166871";"";"Aa G";"AAG";"Kantonales Gewerbemuseum";"";"";"";"";"";"";"5001";"Aarau";"AG";"CH";"";"";"";"";"";"1995";"";"Die Bibliothek existiert nicht mehr.";"";"";"";"";"";"";"";"";"";"";"inaktiv";"";"2019-02-06"
"https://www.helveticarchives.ch/detail.aspx?ID=1457019";"CH-002068-3";"";"";"Kirchgemeinde Menziken-Reinach";"";"";"";"";"";"Mühlebühlstrasse 5";"5737";"Menziken";"AG";"CH";"+41 62 765 48 00";"";"st.anna@kath-menziken.ch";"http://www.kath-menziken.ch/";"2019";"";"";"";"Dokumente der römisch-katholischen Kirchgemeinde Menziken-Reinach";"";"";"";"";"";"";"";"";"";"aktiv";"Zugänglichkeit nicht festgelegt";"2019-12-10"
