Institution,Rue,Lieu,ZIP,Email,Tel
Theologisch-Diakonisches Seminar Aarau,Frey-Herosé-Strasse 9,Aarau,5000,bibliothek@tdsaarau.ch,062-836-43-49
Landesarchiv Appenzell Innerrhoden,Marktgasse 2,Appenzell,9050,landesarchiv@rk.ai.ch,071-788-93-31
Archiv Katholische Pfarrei Teufen-Bühler-Stein,Pfarreisekretariat / Stofelweid 1b,Teufen,9053,sekretariat@kath-teufen.ch,071/333.13.52
Archiv Kirchenverwaltungsrat Teufen-Bühler-Stein,Pfarreisekretariat / Stofelweid 1b,Teufen,9053,sekretariat@kath-teufen.ch,071-333-13-52
Bibliothek Herisau,Poststrasse 9,Herisau,9100,mail@biblioherisau.ch,071/351.56.16
Historisches Archiv Sefar,Hinterbissaustrasse 25,Heiden,9410,archiv@sefar.ch,071 8985804
Kantonsbibliothek Appenzell Ausserrhoden,Landsgemeindeplatz 7,Trogen,9043,kantonsbibliothek@ar.ch,071 3436421
Staatsarchiv Appenzell Ausserrhoden,Schützenstrasse 1A,Herisau,9102,staatsarchiv@ar.ch,071/353.63.50
Abegg-Stiftung / Bibliothek,Werner-Abegg-Strasse 67,Riggisberg,3132,bibliothek@abegg-stiftung.ch,(031) 808-12-23
Alliance Sud InfoDoc / Dokumentationszentrum,Monbijoustrasse 29,Bern,3011 (3001 Postfach),dokumentation@alliancesud.ch,031-390-93-37
Alpines Museum der Schweiz,Helvetiaplatz 4,Bern,3005,info@alpinesmuseum.ch,031 3500440
"Amnesty International, Schweizer Sektion, Bibliothek",Speichergasse 33,Bern,3011,info@amnesty.ch,031-307-22-22
Amt für Gemeinden und Raumordnung des Kantons Bern / Bibliothek,Nydeggasse 11/13,Bern,3011,kpl.agr@jgk.be.ch,031 633 77 50
"Amt für Zweisprachigkeit, Gesetzgebung und Ressourcen / Bibliothek",Postgasse 68,Bern,3011,info.terminologie@sta.be.ch,031-633-75-29
Arbeitsstelle Schweiz des RISM (Répertoire International des Sources Musicales),Hallwylstrasse 15,Bern 6,3000,info@rism-ch.org,(058) 464-49-34
Archiv der Beratungsstelle für Unfallverhütung bfu,Hodlerstrasse 5a,Bern,3011,docu@bfu.ch,031/390.22.22
Archiv für Agrargeschichte,Villettemattstrasse 9,Bern,3007,info@agrararchiv.ch,031 911 72 55
Archiv und Sammlung Hermann Rorschach,Bühlstrasse 26,Bern,3012,Stefan.haechler@img.unibe.ch,031 6318473
Ballenberg - Freilichtmuseum der Schweiz,Museumsstrasse 131,Hofstetten bei Brienz BE,3858,info@ballenberg.ch,033/9521030
"Berner Fachhochschule, Architektur, Holz und Bau/Technik und Informatik, Bibliothek",Pestalozzistrasse 20,Burgdorf,3400,biblio.ti-bu@bfh.ch,034 426 43 33
"Berner Fachhochschule, Departement Soziale Arbeit, Bibliothek",Hallerstrasse 8,Bern,3012,bibliothek.soziale-arbeit@bfh.ch,031 848 36 36
"Berner Fachhochschule (BFH), Hochschule der Künste Bern (HKB), Musikbibliothek",Papiermühlestrasse 13j,Bern,3014,musikbibliothek@hkb.bfh.ch,031-848-39-60
"Berner Fachhochschule, Technik und Informatik, Bibliothek",Quellgasse 21,Biel/Bienne,2502,biblio.ti-bi@bfh.ch,032 321 64 62
Berner Fachhochschule / Wirtschaft / Bibliothek,Brückenstrasse 73,Bern,3005,bibliothek.wirtschaft@bfh.ch,031/8483459
Bernisches Historisches Museum,Helvetiaplatz 5,Bern,3005,info@bhm.ch,031/3507711
"Berufsberatungs- und Informationszentren des Kantons Bern, BIZ Bern, Infothek",Bremgartenstrasse 37,Bern,3001,biz-bern@erz.be.ch,031 633 80 00
Bibliothek am Guisanplatz BiG,Papiermühlestrasse 21 A,Bern,3003,bibliothek@gs-vbs.admin.ch,058/464.50.99
Bibliothek und Dokumentation der Beratungsstelle für Unfallverhütung bfu,Hodlerstrasse 5a,Bern,3011,docu@bfu.ch,031/390.22.22
Bibliothèque Communale et Scolaire,Place du Collège 1,Sonvilier,2615,bibliotheque@sonvilier.ch,032/941.12.30
Bibliothèque municipale de Moutier,Av. de la Liberté 13,Moutier,2740,biblio@moutier.ch,032 4935969
Bödeli Bibliothek Interlaken,Marktgasse 4,Interlaken,3800,info@boedeli-bibliothek.ch,(033) 822-02-12
Büro für Fotografiegeschichte Bern,Optingenstrasse 54,Bern,3013,info@foto-ch.ch,031-340-23-37
Bundesamt für Energie BFE,Mühlestrasse 4,Ittigen,3063,info@bfe.admin.ch,058 462 56 11
Bundesamt für Justiz / Bibliothek,Bundesrain 20,Bern,3003,biblio@bj.admin.ch,058-462-41-42
Bundesamt für Landwirtschaft Bibliothek und Dokumentation,Mattenhofstrasse 5,Bern,3003,dokumentation@blw.admin.ch,(058) 463-08-87
Bundesamt für Lebensmittelsicherheit und Veterinärwesen BLV,Schwarzenburgstrasse 155,Bern,3003,info@blv.admin.ch,058-463-30-33
Bundesamt für Sozialversicherungen BSV / Bibliothek,Effingerstrasse20,Bern,3003,bibliothek@bsv.admin.ch,058/4629103
Burgerarchiv Burgdorf,Bernstrasse 5,Burgdorf,3400,g.borrelli@bus-biblio.ch,034/4200072
Burgerarchiv Thun,Rathausplatz 4,Thun,3600,burgerarchiv@bgthun.ch,033-225-82-35
Burgerbibliothek Bern,Münstergasse 63,Bern 8,3000,bbb@burgerbib.ch,031/3203333
"cinfo Zentrum für Information, Beratung und Bildung, Berufe in der internationalen Zusammenarbeit",Zentralstrasse 121,Biel/Bienne,2503,info@cinfo.ch,(032) 365-80-02
Diplomatische Dokumente der Schweiz - Dodis,Hallwylstrasse 4,Bern,3003,dodis@dodis.ch,058 465 12 36
Direktion für Entwicklung und Zusammenarbeit,Freiburgstrasse 130,Bern,3003,infodoc@eda.admin.ch,058/4623465
Dorfbibliothek Kehrsatz,Zimmerwaldstrasse 6,Kehrsatz,3122,bibliotheken@kehrsatz.ch,031/9600090
EHB Bibliothek,Kirchlindachstrasse 79,Zollikofen,3052,bibliothek@ehb.swiss,058 4582706
Eidgenössische Steuerverwaltung / Literaturservice,Eigerstrasse 65,Bern,3003,litservice@estv.admin.ch,058-462-86-73
Eidgenössisches Archiv für Denkmalpflege EAD,Hallwylstrasse 15,Bern,3003,Graphische-Sammlung@nb.admin.ch,058 4628971
Eidgenössisches Institut für geistiges Eigentum / Bibliothek,Stauffacherstrasse 65/59g,Bern,3003,biblio@ipi.ch,031/3777777
Forschungsinstitut für Freizeit und Tourismus (FIF) / Bibliothek,Schanzeneckstrasse 1,Bern,3001,fif@fif.unibe.ch,031 6313711
Freimaurer Museum Schweiz,Jupiterstrasse 40,Bern,3015,info@freimaurermuseum.ch,079/1050153
Gemeinde Münsingen,Neue Bahnhofstrasse 4,Münsingen,3110,praesidiales@muensingen.ch,031 724 51 11
Gemeinde- und Schulbibliothek Grosshöchstetten,Dorfstrasse 1a,Grosshöchstetten,3506,bibliothek@grosshoechstetten.ch,031/711.40.84
Gemeindebibliothek Herzogenbuchsee,Bernstrasse 17,Herzogenbuchsee,3360,bibliothek@herzogenbuchsee.ch,(062) 961-16-80
Gewerkschaft Unia / Bibliothek und Archiv,Weltpoststrasse 20,Bern 15,3000,archiv@unia.ch,031-350-22-51
gibb Mediathek Campus,Lorrainestrasse 5,Bern,3013,mediathek-campus@gibb.ch,(031) 335-93-40
"Gosteli-Stiftung, Archiv zur Geschichte der schweizerischen Frauenbewegung",Altikofenstrasse 186,Worblaufen,3048,info@gosteli-foundation.ch,031-921-02-22
HEP-BEJUNE Médiathèque de Bienne,Chemin de la Ciblerie 45,Bienne,2503,mediatheque.sbi@hep-bejune.ch,(032) 886-99-42
Historisches Archiv und Bibliothek PTT,Sägestrasse 77,Köniz,3098,archiv@mfk.ch,031/331.11.51
Historisches Lexikon der Schweiz (HLS) / Zentralredaktion,Hirschengraben 11,Bern,3001 (3011 für Pakete),info@hls.ch,031 313 13 30
Kirchliche Medienstelle Thun,Frutigenstrasse 8,Thun,3600,ru-medien.thun@bluewin.ch,033 222 61 26
Könizer Bibliotheken,Stapfenstrasse 13,Köniz,3098,info@biblere.ch,031 970 96 51
Kornhausbibliotheken Bern,Kornhausplatz 18,Bern,3001,sekretariat@kob.ch,031/3271010
Lichtspiel / Kinemathek Bern,Sandrainstrasse 3,Bern,3007,info@lichtspiel.ch,031-381-15-05
Mediathek Bibliothek Rapperswil BE,Stoll 39,Rapperswil BE,3255,mediathek@schulen-rapperswil.ch,031-879-28-98
Mediothek BFF Bern,Kapellenstrasse 6,Bern,3011,mediothek@bffbern.ch,(031) 635-28-26
Mediothek des Gymnasiums Kirchenfeld Bern,Kirchenfeldstrasse 25,Bern,3005,mediothek@gymkirchenfeld.ch,(031) 359-25-62
Mediothek des Gymnasiums Neufeld Bern,Bremgartenstrasse 133,Bern,3012,mediothek@gymneufeld.ch,031 635 30 95
Mediothek Gymnasium Lerbermatt,Kirchstrasse 64,Köniz,3098,mediothek@lerbermatt.ch,031-635-31-38
"Mémoires d'Ici, Centre de recherche et de documentation du Jura bernois",Rue du Midi 6,St-Imier,2610,contact@m-ici.ch,032-941-55-55
Municipalité de Sorvilier / Archives,Rue Principale 18,Sorvilier,2736,adm.sorvilier@bluewin.ch,032 492 18 29
Museum für Kommunikation / Philateliebibliothek,Helvetiastrasse 16,Bern 6,3000,communication@mfk.ch,031/357.55.55
Museum für Uhren und mechanische Musikinstrumente (MUMM) / Bibliothek,Staatsstrasse 18,Oberhofen am Thunersee,3653,mumm@bluewin.ch,033 2434377
Museum Münsingen,Schlossstrasse 13,Münsingen,3110,museum@muensingen.ch,(031) 724-52-44
Musikschule Biel,Bahnhofstrasse 11,Biel-Bienne,2501,hofer@konsi-biel.ch,(032) 329-50-15
Naturhistorisches Museum / Bibliothek,Bernastrasse 15,Bern,3005,contact@nmbe.ch,031/350.71.11
Obergericht des Kantons Bern / Bibliothek,Hochschulstrasse 17,Bern,3001,bibliothek.obergericht@justice.be.ch,031/635.48.01
Organisation intergouvernementale pour les transports internationaux ferroviaires / Bibliothèque,Gryphenhübeliweg 30,Bern,3006,info@otif.org,031 359 10 10
"Parlamentsdienste, Parlamentsbibliothek",Bundeshaus,Bern,3003,doc@parl.admin.ch,058/3229744
"PHBern, Institut für Weiterbildung und Medienbildung",Helvetiaplatz 2,Bern,3005,mediothek.iwm@phbern.ch,031 309 28 00
Psychiatriezentrum Münsingen AG,Hunzigenallee 1,Münsingen,3110,info@pzmag.ch,031-720-81-20
"Reformierte Kirchen Bern-Jura-Solothurn, Kirchliche Bibliothek Bern",Altenbergstrasse 66,Bern,3000,bibliothek.bern@refbejuso.ch,031/3402424
"Reformierte Kirchen Bern-Jura-Solothurn, Kirchliche Bibliothek Thun",Frutigenstasse 8,Thun,3600,bibliothek.thun@refbejuso.ch,033 2226126
Regionalbibliothek Langenthal,Turnhallenstrasse 22,Langenthal,4900,bibliothek@langenthal.ch,062/9221839
Regionalbibliothek Langnau,Dorfmühle / Dorfstrasse 22,Langnau im Emmental,3550,bibliothek@langnau-ie.ch,(034) 409-31-85
Robert Walser-Zentrum der Robert Walser-Stiftung,Marktgasse 45,Bern,3011,info@robertwalser.ch,031-310-17-70
"SAPA Foundation, Swiss Archive of the Performing Arts",Schanzenstrasse 15,Bern,3001,info.bern@sapa.swiss,031-301-52-52
Schweizer Alpen-Club Sektion Bern,Brunngasse 36,Bern,3011,toledergerber@sunrise.ch,031 3524440
Schweizer Tourismus-Verband,Finkenhubelweg 11,Bern,3012,info@stv-fst.ch,031 307 47 47
Schweizer Zentrum für Heil- und Sonderpädagogik,Speichergasse 6,Bern,3001,szh@szh.ch,031-320-16-60
Schweizer Zucker AG,Radelfingenstrasse,Aarberg,3270,info@zucker.ch,(032) 391-62-00
Schweizerische Akademie für Chiropraktik SAC / Bibliothek,Sulgenauweg 38,Bern,3007,academy@chirosuisse.info,031-376-13-08
Schweizerische Konferenz der kantonalen Erziehungsdirektoren EDK / IDES Information,Zähringerstrasse 25,Bern,3001,ides@edk.unibe.ch,031 3095100
Schweizerische Mobiliar Versicherungsgesellschaft / Dokumentation,Bundesgasse 35,Bern,3001,mobidoc@mobi.ch,031/389.68.52
Schweizerische Nationalbibliothek,Hallwylstrasse 15,Bern,3003,info@nb.admin.ch,058 462 89 35
Schweizerische Nationalbibliothek / Formale Erschliessung,Hallwylstrasse 15,Bern,3003,info@nb.admin.ch,058 462 89 35
Schweizerische Nationalbibliothek / Graphische Sammlung,Hallwylstrasse 15,Bern,3003,Graphische-Sammlung@nb.admin.ch,058-462-89-71
Schweizerischer Gewerkschaftsbund SGB Bibliothek und Archiv,Monbijoustrasse 61,Bern,3007,biblio@sgb.ch,031 3770126
Schweizerischer Nationalfonds,Wildhainweg 3,Bern,3001,pub@snf.ch,031 308 22 22
Schweizerischer Wissenschaftsrat SWR,Einsteinstrasse 2,Bern,3003,swr@swr.admin.ch,058/4630048
Schweizerisches Bundesarchiv,Archivstrasse 24,Bern,3003,bundesarchiv@bar.admin.ch,058 4628989
Schweizerisches Gastronomie-Museum / Schloss Hünegg / Bibliothek,Staatsstrasse 52,Hilterfingen,3652,info@gastronomiemuseum.ch,033/223.14.32
Schweizerisches Literaturarchiv,Hallwylstrasse 15,Bern,3003,arch.lit@nb.admin.ch,058/4629258
Sportmediathek Magglingen,Hauptstrasse 247,Magglingen,2532,biblio@baspo.admin.ch,058 4676308
SRG SSR Zentralarchiv Generaldirektion,Giacomettistrasse 1,Bern 31,3000,irene.benz@srg.ch,(031) 350-93-57
Staatssekretariat für Wirtschaft SECO / Dokumentation,Holzikofenweg 36,Bern,3003,doku@seco.admin.ch,058/3220700
Stadtarchiv Bern,Helvetiastrasse 6,Bern,3005,stadtarchiv@bern.ch,(031) 321-62-40
Stadtarchiv Biel/Bienne,Ernst-Schüler-Strasse 23,Biel,2502,stadtarchiv@biel-bienne.ch,032 3261124
Stadtarchiv Burgdorf,Kirchbühl 19,Burgdorf,3400,info@burgdorf.ch,034 429 91 11
Stadtbibliothek Biel/Bienne,Dufourstrasse 26,Biel/Bienne 3,2500,biblio@bibliobiel.ch,(032) 329-11-00
Stadtbibliothek Burgdorf,Bernstrasse 5,Burgdorf,3400,info@bus-biblio.ch,034/4200070
Stadtbibliothek Thun,Bahnhofstrasse 6,Thun,3602,stadtbibliothek@thun.ch,033/225.84.24
Swissmedic Bibliothek,Hallerstrasse 7,Bern 9,3000,bibliothek@swissmedic.ch,058 4620744
Universitäre Psychiatrische Dienste Bern (UPD) AG / Fachbibliothek WA,Bolligenstrasse 111,Bern 60,3000,marlise.matti@upd.unibe.ch,031/930.94.88
Universitätsbibliothek Bern / Basisbibliothek Unitobler,Länggassstrasse 49a,Bern,3012,bto@ub.unibe.ch,031/631.47.01
Universitätsbibliothek Bern / Bibliothek Anglistik,Länggassstrasse 49,Bern 9,3000,anglistik@ub.unibe.ch,031/631.83.72
Universitätsbibliothek Bern / Bibliothek Betriebswirtschaft,Engehaldenstr. 4,Bern,3012,bbw@ub.unibe.ch,031-631-42-04
Universitätsbibliothek Bern / Bibliothek Christkatholische Theologie,Länggassstrasse 51,Bern 9,3000,christkath@ub.unibe.ch,041 6318240
Universitätsbibliothek Bern / Bibliothek Departement für Chemie und Biochemie,Freiestrasse 3,Bern,3012,dcb@ub.unibe.ch,031 6314262
Universitätsbibliothek Bern / Bibliothek Evangelische Theologie,Länggassstrasse 51,Bern 9,3000,evtheol@ub.unibe.ch,031-631-80-68
Universitätsbibliothek Bern / Bibliothek Exakte Wissenschaften,Sidlerstrasse 5,Bern,3012,bewi@ub.unibe.ch,031-631-86-38
Universitätsbibliothek Bern / Bibliothek Geographie,Hallerstrasse 12,Bern,3012,biblio.giub@ub.unibe.ch,031 631 88 61
Universitätsbibliothek Bern / Bibliothek Germanistik,Länggassstrasse 49,Bern,3000,germanistik@ub.unibe.ch,031 6318311
Universitätsbibliothek Bern / Bibliothek Geschichte,Länggassstrasse 49,Bern,3000,geschichte@ub.unibe.ch,(031) 631-80-91
Universitätsbibliothek Bern / Bibliothek Klassische Philologie und antike Philosophie,Länggassstrasse 49,Bern 9,3000,klassphilo@ub.unibe.ch,031/631.80.12
Universitätsbibliothek Bern / Bibliothek Koordinationsstelle für Weiterbildung,Schanzeneckstrasse 1 PF,Bern,3001,zuw@ub.unibe.ch,031 631 33 61
Universitätsbibliothek Bern / Bibliothek Lerchenweg,Lerchenweg 36,Bern 9,3012,lerchenweg@ub.unibe.ch,031/631.48.23
Universitätsbibliothek Bern / Bibliothek Medizingeschichte,Bühlstrasse 26,Bern,3012,img@ub.unibe.ch,031/631.84.73
Universitätsbibliothek Bern / Bibliothek Mittelstrasse,Mittelstrasse 43,Bern,3012,mittelstrasse@ub.unibe.ch,031/631.93.80
Universitätsbibliothek Bern / Bibliothek Münstergasse,Münstergasse 61,Bern,3011,muenstergasse@ub.unibe.ch,031-631-92-11
Universitätsbibliothek Bern / Bibliothek Pflanzenwissenschaften,Altenbergrain 21,Bern,3013,ips@ub.unibe.ch,031 631 80 22
Universitätsbibliothek Bern / Bibliothek Philosophie,Länggassstrasse 49A,Bern,3000,philosophie@ub.unibe.ch,031/6318055
Universitätsbibliothek Bern / Bibliothek Romanistik,Länggassstrasse 49,Bern 9,3000,bibliorom@ub.unibe.ch,(031) 631-80-34
Universitätsbibliothek Bern / Bibliothek Slavische Sprachen und Literaturen,Länggassstrasse 49,Bern 9,3000,slavistik@ub.unibe.ch,031-631-80-60
Universitätsbibliothek Bern / Bibliothek Sozial- und Präventivmedizin,Finkelhubelweg 11,Bern,3012,ispm@ub.unibe.ch,(031) 631-35-24
Universitätsbibliothek Bern / Bibliothek Sport und Sportwissenschaft,Bremgartenstrasse 145,Bern,3012,sportwissenschaft@ub.unibe.ch,031-631-47-60
Universitätsbibliothek Bern / Bibliothek Sprachwissenschaft,Länggassstrasse 49,Bern 9,3000,linguistik@ub.unibe.ch,031 631 88 04
Universitätsbibliothek Bern / Bibliothek Vetsuisse,Länggassstrasse 120,Bern,3001,vetsuissebern@ub.unibe.ch,031-631-22-16
Universitätsbibliothek Bern / Bibliothek vonRoll,Fabrikstrasse 8,Bern,3012,vonroll@ub.unibe.ch,031/6319500
Universitätsbibliothek Bern / Bibliothek Wirtschafswissenschaften,Schanzeneckstrasse 1,Bern,3001,vwl@ub.unibe.ch,031/6318082
Universitätsbibliothek Bern / Bibliothek World Trade Institute,Hallerstrasse 6,Bern,3012,wti@ub.unibe.ch,031 631 32 71
Universitätsbibliothek Bern / Fachbereichsbibliothek Bühlplatz,Baltzerstrasse 4,Bern,3012,fbb@ub.unibe.ch,(031) 631-46-07
Universitätsbibliothek Bern / Juristische Bibliothek,Hochschulstrasse 4,Bern,3012,jbb@ub.unibe.ch,031-631-82-67
Universitätsbibliothek Bern / Juristische Forschungsbibliothek,Schanzeneckstrasse 1,Bern,3001,jfb@ub.unibe.ch,(031) 631-55-79
Universitätsbibliothek Bern - Schweizerische Osteuropabibliothek (SOB),Hallerstrasse 6,Bern,3012,sob@ub.unibe.ch,031 631 41 80
Universitätsbibliothek Bern / Speichermagazin,Fabrikstrasse 8,Bern,3012,info@ub.unibe.ch,031-631-95-00
Universitätsspital-Bibliothek USB,Inselspital,Bern,3010,backoffice@usb.unibe.ch,031/6322870
Verband des Strassenverkehrs FRS Bibliothek,Wölflistrasse 5,Bern 22,3000,info@strasseschweiz.ch,(031) 329-80-80
Wettbewerbskommission WEKO / Dokumentation,Hallwylstrasse 4,Bern,3003,weko@weko.admin.ch,058 464 96 81
Bibliothek zum Chutz,Brühlweg 3,Muttenz,4132,bibliothek@frauenverein-muttenz.ch,061-462-01-90
Bibliothekstechnik GmgH,Erlistrasse 4,Frenkendorf,4402,info@bibliothekstechnik.ch,061/9014183
Dichter- und Stadtmuseum Liestal,Rathausstr. 30,Liestal,4410,mail@dichtermuseum.ch,061-923-70-15
Fachhochschule Nordwestschweiz FHNW / Campus Muttenz Bibliothek,Hofackerstrasse 30,Muttenz,4132,bibliothek.muttenz@fhnw.ch,061-228-50-40
Fachhochschule Nordwestschweiz FHNW Hochschulbibliothek Muttenz,Gründenstrasse 40,Muttenz,4132,bibliothek.muttenz@fhnw.ch,061/228.50.40
Gemeindebibliothek Münchenstein,Kaspar Pfeiffer-Strasse 4,Münchenstein,4142,gemeindebibliothek@muenchenstein.ch,061/4111313
Gemeindebibliothek Oberwil,Bahnhofstrasse 6,Oberwil,4104,info@bibliothek-oberwil.ch,(061) 403-05-87
Gemeinde- und Schulbibliothek Aesch,Reinacherstrasse 3,Aesch,4147,bibliothekaesch@intergga.ch,061 751 51 61
Gemeinde- und Schulbibliothek Ettingen,Gempenweg 17,Ettingen,4107,info@bibliothek-ettingen.ch,061 7268779
Gemeinde- und Schulbibliothek Gelterkinden,Sissacherstrasse 20,Gelterkinden,4460,bibliothek@gelterkinden.ch,061-981-43-81
Gemeinde- und Schulbibliothek Reinach,Weiermattstrasse 11,Reinach,4153,info@bibliothek-reinach.ch,(061) 711-12-68
Gemeinde- und Schulbibliothek Therwil,Kirchrain 2,Therwil,4106,bibliothek.therwil@intergga.ch,061-721-62-43
Kantonsbibliothek Baselland,Emma Herwegh-Platz 4,Liestal,4410,kantonsbibliothek@bl.ch,061 552 62 73
Mediothek Gymnasium Muttenz,Gründenstrasse 30,Muttenz,4132,mediothek.gymmu@sbl.ch,061 5521208
"Plakatsammlung, Schule für Gestaltung Basel",Freilager-Platz 6,Münchenstein,4142,plakatsammlung@sfgbasel.ch,061/267.41.95
Pro Acta GmbH,Christoph Merian-Ring 11,Reinach,4153,info@proacta.ch,061 717 82 94
Schul- und Gemeindebibliothek Bottmingen,Burggartenstrasse 1,Bottmingen,4103,bibubo@intergga.ch,061/421.83.66
Sportmuseum Schweiz / Bibliothek,Begehlager Dreispitz,Münchenstein,4142,info@sportmuseum.ch,061 261 12 21
Staatsarchiv Basel-Landschaft,Wiedenhubstrasse 35,Liestal,4410,staatsarchiv@bl.ch,061/5527600
Stedtlibibliothek Laufen,Amthausgasse 35,Laufen,4242,info@stebilaufen.ch,061/7616491
Stiftung Bibliotheca Afghanica,Bruehlstrasse 2,Bubendorf,4416,info@afghanistan-institut.ch,(061) 933-98-77
Anatomisches Institut der Universität Bibliothek,Pestalozzistrasse 20,Basel,4056,sekretariat-anatomie@unibas.ch,(061) 207-39-21
Anne Frank-Fonds Basel,Steinengraben 18,Basel,4051,info@annefrank.ch,061/274.11.74
Antikenmuseum Basel und Sammlung Ludwig / Bibliothek,St. Albangraben 5,Basel,4010,office@antikenmuseumbasel.ch,061/201.12.12
